ID,ENQUESTA_ID,SEMESTRE,PREGUNTA_ID,RESPOSTA_ID,RESPOSTA,IDP,SUMATORI,TIPUS_PREGUNTA,ENQUESTA_CREATED_AT,PREGUNTA_CREATED_AT,RESPOSTA_CREATED_AT,CREATION_DATE,UPDATE_DATE
8774167,668,20232,17675,426985,SolicitÃ© un cambio de idioma de docencia y despuÃ©s de una semana sigo esperando que me lo hagan efectivo teniendo proximas entregas,1680015,1,PREGUNTA_OBERTA,2024-03-01 09:14:33,2024-03-01 09:14:40,2024-03-27 16:04:38,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774168,670,,17738,427070,MejorarÃ­a la velocidad de respuesta por parte de los profesores responsables de la asignatura que han tardado incluso 1 semana en responder.  Se tendrÃ­a que tener la posibilidad de tener alguna reuniÃ³n tipo meeting con ellos para resolver dudas y un feedback personalizado que permita saber quÃ© mejorar en concreto.,1265565,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-12 17:38:19,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774170,670,,17738,427313,"Algunas asignaturas estÃ¡n en inglÃ©s porque si, cuando yo escogÃ­ idioma al hacer la matrÃ­cula marquÃ© castellano, esta es Sistemas Distribuidos y no se traduce al castellano porque a los tutores no les da la gana. Muy poco satisfecho con esa asignatura en concreto, el resto bien.",1418238,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-12 19:49:45,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774171,670,,17738,427349,"A Canvas resulta poc intuÃ¯tiu que els recursos queden desprÃ©s de la tasca. A l&#039;assignatura de InferÃ¨ncia EstadÃ­stica no hi ha retroacciÃ³ i nomÃ©s hi ha dues tasques. Ãs l&#039;Ãºnica assignatura que no recomanaria i amb la qual estic insatisfet. La resta de docents sÃ³n molt bons, la comunicaciÃ³ Ã©s bona i les tasques forÃ§a interessants.",1414112,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-12 20:10:34,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774172,670,,17738,427421,"Se necesitan mas profesores vocacionales, y una comunicacion algo mas directa con la UOC pies hay tramites y gestiones que se precisa de atencion personal y no digital",815659,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-12 20:52:45,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774177,670,,17738,427647,"En las aseguinaturas que solo se aprueba siguiendo y aprobado la EC, serÃ­a una oportunidad positiva que hubiera un examen de recuperacion. Es una faena repetir matricula por haber fallado en una PEC.",1232890,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-12 22:36:02,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774182,670,,17738,427911,"Si torno a tenir la oportunitat d&#039;estudia,repetirÃ©.",894245,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 07:42:34,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774185,670,,17738,428110,"Estic molt satisfeta amb els estudis que realitzo a la UOC, moltes grÃ cies",755433,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 10:17:11,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774188,670,,17738,428148,Los foros de CANVAS no me gustan porque para localizar un mensaje estoy un buen rato y casi me he de releer todos los mensajes. Echo en falta foros dÃ³nde se puedan clasificar por temÃ¡tica. Gracias.,1483458,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 10:44:16,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774190,670,,17738,428248,"Precisamente escogÃ­ estudiar online por el poco tiempo del que dispongo, algunas asignaturas como ingles son un despropÃ³sito el tiempo que se necesita para compaginar los horarios de grupos de 4 personas, a veces es prÃ¡cticamente imposible. Por otro lado, se nos exige un nivel en las Pecs cuando estas estÃ¡n llenas de faltas ortogrÃ¡ficas y mal redactadas.",779836,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 11:57:39,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774191,670,,17738,428313,"He escollit fer el grau en catalÃ  i molts dels materials proporcionats sÃ³n en castellÃ , aixÃ­ com les xerrades que s&#039;ofereixen a l&#039;alumnat durant el semestre. L&#039;educaciÃ³ en catalÃ . D&#039;altra banda, Ã©s impossible contactar telefÃ²nicament amb algun agent i amb el servei d&#039;atenciÃ³, fet que em sembla vergonyÃ³s ja que aquest no resol els dubtes per correu.",1414447,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 13:20:02,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774192,670,,17738,428326,"Al C1.2 dangles se suposa que sobte un ceritificat, tal com sestipula al Pla docent de lassignatura. Ara ens fan arribar que no serÃ  possible, Ã©s molt injust. Es necessari un canvi",1179516,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 13:41:53,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774194,670,,17738,428371,"Se deberÃ­a respetar mÃ¡s al estudiantado. \ Tenemos fechas lÃ­mites de entregas, pero tambiÃ©n hay fechas lÃ­mite de publicaciÃ³n de notas y ambas deben ser respetadas. \ Por otro lado, entiendo y veo bien que el Plan Docente pueda sufrir modificaciones de un semestre a otro, pero estos cambios no deberÃ­an realizarse una vez realizada la matrÃ­cula. \ En mi caso intento establecer un equilibrio con las asignaturas con PS, sin PS o con trabajos grupales. Por este motivo considero que el Plan Docente no deberÃ­a modificarse una vez finalizado el periodo de matriculaciÃ³n.",1263567,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 14:56:45,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
8774195,670,,17738,428379,Aquest curs encara no finalitzarÃ© els estudis. Ho farÃ© en dos anys dos i mig.,600386,1,PREGUNTA_OBERTA,2024-05-22 09:02:23,2024-05-22 09:02:32,2024-06-13 15:02:13,2024-08-09 09:49:23.133000,2024-08-09 09:49:23.133000
